date,comp,kickoff,home,away,oH,oD,oA
2026-07-23,Europa League,17:00,Dynamo Kyiv,PAOK,2.69,3.26,2.55
2026-07-23,Europa League,17:00,Hammarby,Anderlecht,1.68,3.95,4.49
2026-07-23,Europa League,17:00,Tromso,Hradec Kralove,1.38,4.76,7.60
2026-07-23,Europa League,17:00,Sheriff Tiraspol,Maccabi Tel Aviv,3.14,3.29,2.19
2026-07-23,Europa League,18:00,St Gallen,Benfica,7.60,5.20,1.34
2026-07-23,Europa League,18:00,Twente,Ferencvaros,1.50,4.47,5.60
2026-07-23,Europa League,18:00,Besiktas,Midtjylland,2.27,3.51,2.86
2026-07-23,Europa League,19:00,Hajduk Split,Pafos,2.06,3.26,3.55
2026-07-23,Conference League,16:30,Rakow,Valletta,1.11,8.00,22.70
2026-07-23,Conference League,16:30,Dunajska Streda,Velez Mostar,1.31,4.72,9.90
2026-07-23,Conference League,16:30,AEK Larnaca,Beitar Jerusalem,2.05,3.28,3.50
2026-07-23,Conference League,16:30,RFS,Vestri,1.05,13.60,30.10
2026-07-23,Conference League,17:00,Santa Coloma,Rapid Wien,9.60,6.20,1.23
2026-07-23,Conference League,17:00,BATE Borisov,Sion,11.10,5.70,1.23
2026-07-23,Conference League,17:00,Zimbru,Noah,4.58,3.67,1.70
2026-07-23,Conference League,17:00,U Cluj,Brann,3.57,3.33,2.02
2026-07-23,Conference League,17:00,GAIS,Nordsjaelland,2.63,3.46,2.45
2026-07-23,Conference League,17:00,Dinamo Tbilisi,Zalgiris,2.16,3.17,3.31
2026-07-23,Conference League,17:00,Vitebsk,Sutjeska,1.65,3.77,4.78
2026-07-23,Conference League,17:30,Vaduz,Escaldes,1.27,5.40,9.00
2026-07-23,Conference League,17:45,FCSB,Auda,1.13,7.40,18.20
2026-07-23,Conference League,18:00,Vojvodina,Ajax,5.10,4.18,1.57
2026-07-23,Conference League,18:00,Polissya,Copenhagen,4.12,3.84,1.73
2026-07-23,Conference League,18:00,Paks,Panathinaikos,4.67,4.31,1.60
2026-07-23,Conference League,18:00,Aluminij,Dinamo Tirana,2.69,3.29,2.46
2026-07-23,Conference League,18:00,Varazdin,Jablonec,2.67,3.34,2.49
2026-07-23,Conference League,18:30,Lugano,Dukagjini,1.16,7.10,16.30
2026-07-23,Conference League,18:30,LNZ Cherkasy,Gent,3.78,3.19,1.99
2026-07-23,Conference League,18:30,Borac Banja Luka,Petrocub,1.42,4.60,6.20
2026-07-23,Conference League,18:30,Hapoel Tel Aviv,Ludogorets,3.13,3.12,2.26
2026-07-23,Conference League,18:30,Zilina,GKS Katowice,2.56,3.47,2.51
2026-07-23,Conference League,18:45,Rijeka,Derry City,1.14,7.30,19.30
2026-07-23,Conference League,18:45,Motherwell,HB Torshavn,1.11,8.90,18.60
2026-07-23,Conference League,18:45,Shelbourne,Nomme Kalju,1.39,4.25,7.60
2026-07-23,Conference League,18:45,Bravo,Shkendija,1.95,3.47,3.59
2026-07-23,Conference League,18:45,NSI Runavik,Koper,2.82,3.46,2.28
2026-07-23,Conference League,19:00,Partizan,UNA Strassen,1.11,9.10,16.70
2026-07-23,Conference League,19:00,Stjarnan,Ilves,2.58,3.89,2.33
2026-07-23,Conference League,19:15,Valur,Zrinjski Mostar,2.87,3.42,2.28
2026-07-25,Club Friendly,09:30,RB Leipzig,Ingolstadt,1.18,6.90,11.90
2026-07-25,Club Friendly,13:00,Mainz,Holstein Kiel,1.58,3.95,4.77
2026-07-25,Club Friendly,13:00,Kickers Offenbach,Leverkusen,22.20,13.90,1.05
2026-07-25,Club Friendly,13:30,Wehen Wiesbaden,Bayern Munich,5.80,5.60,1.34
2026-07-25,Club Friendly,14:00,Celtic,AC Milan,2.54,3.64,2.34
2026-07-25,Club Friendly,14:00,Bologna,Iraklis,1.07,10.40,17.20
2026-07-25,Club Friendly,14:00,QPR,Fiorentina,2.86,3.39,2.21
2026-07-25,Club Friendly,15:00,Genoa,Vicenza,1.58,3.76,5.00
2026-07-25,Club Friendly,15:30,Konyaspor,Hull City,2.59,3.38,2.41
2026-07-25,Club Friendly,16:00,PSV Eindhoven,Villarreal,1.78,4.04,3.49
2026-07-25,Club Friendly,16:00,Marseille,Nice,1.89,3.65,3.44
2026-07-25,Club Friendly,16:00,Wolverhampton,Real Sociedad,2.11,3.57,2.91
2026-07-25,Club Friendly,16:00,Rennes,Club Brugge,2.20,3.65,2.71
2026-07-25,Club Friendly,17:00,Celta Vigo,Sporting Gijon,1.58,3.77,4.97
2026-07-25,Club Friendly,17:00,Athletic Bilbao,Eibar,1.80,3.44,3.98
2026-07-25,Club Friendly,17:00,Malaga,Leicester,2.15,3.45,2.87
2026-07-25,Club Friendly,18:00,Standard Liege,Juventus,4.06,3.70,1.72
2026-07-25,Club Friendly,19:00,Porto,Aston Villa,2.35,3.42,2.63
2026-07-25,Club Friendly,22:00,Liverpool,Sunderland,1.57,4.22,4.70
2026-07-26,Club Friendly,15:00,Rangers,West Ham,2.70,3.69,2.27
