date,home,away,hg,ag
2026-07-23,Rakow,Valletta,3,1
2026-07-23,Dunajska Streda,Velez Mostar,1,0
2026-07-23,AEK Larnaca,Beitar Jerusalem,0,1
2026-07-23,Dynamo Kyiv,PAOK,2,3
2026-07-23,Hammarby,Anderlecht,1,1
2026-07-23,Tromso,Hradec Kralove,0,1
2026-07-23,Santa Coloma,Rapid Wien,1,3
2026-07-23,BATE Borisov,Sion,1,1
2026-07-23,Zimbru,Noah,1,1
2026-07-23,U Cluj,Brann,2,2
2026-07-23,GAIS,Nordsjaelland,1,0
2026-07-23,Dinamo Tbilisi,Zalgiris,3,0
2026-07-23,Vaduz,Escaldes,4,0
2026-07-23,FCSB,Auda,2,3
2026-07-23,St Gallen,Benfica,2,1
2026-07-23,Twente,Ferencvaros,1,2
2026-07-23,Besiktas,Midtjylland,1,0
2026-07-23,Polissya,Copenhagen,3,3
2026-07-23,Paks,Panathinaikos,1,2
2026-07-23,Aluminij,Dinamo Tirana,1,1
2026-07-23,Varazdin,Jablonec,3,2
2026-07-23,Lugano,Dukagjini,1,0
2026-07-23,LNZ Cherkasy,Gent,0,0
2026-07-23,Borac Banja Luka,Petrocub,3,0
2026-07-23,Zilina,GKS Katowice,2,1
2026-07-23,Rijeka,Derry City,1,0
2026-07-23,Motherwell,HB Torshavn,2,0
2026-07-23,Shelbourne,Nomme Kalju,5,2
2026-07-23,Bravo,Shkendija,2,1
2026-07-23,NSI Runavik,Koper,0,2
2026-07-23,Partizan,UNA Strassen,4,0
2026-07-23,Stjarnan,Ilves,1,0
2026-07-23,Valur,Zrinjski Mostar,1,0
2026-07-25,RB Leipzig,Ingolstadt,1,0
2026-07-25,Mainz,Holstein Kiel,3,0
2026-07-25,Kickers Offenbach,Leverkusen,1,3
2026-07-25,Wehen Wiesbaden,Bayern Munich,2,1
2026-07-25,Celtic,AC Milan,2,2
2026-07-25,Bologna,Iraklis,2,0
2026-07-25,QPR,Fiorentina,3,2
2026-07-25,Genoa,Vicenza,2,2
2026-07-25,Konyaspor,Hull City,0,3
2026-07-25,PSV Eindhoven,Villarreal,1,3
2026-07-25,Marseille,Nice,0,3
2026-07-25,Wolverhampton,Real Sociedad,1,2
2026-07-25,Rennes,Club Brugge,2,1
2026-07-25,Celta Vigo,Sporting Gijon,1,0
2026-07-25,Athletic Bilbao,Eibar,2,2
2026-07-25,Malaga,Leicester,3,3
2026-07-25,Standard Liege,Juventus,0,1
2026-07-25,Porto,Aston Villa,2,1
2026-07-25,Liverpool,Sunderland,4,2
2026-07-26,Rangers,West Ham,0,0
