date,div,home,away,pH,pD,pA,pick,p_over,score_pick,p_top_score,actual,result,hit_1x2,hit_score,hit_ou,logloss,bet_side,clv,roi
2025-05-31,T1,Alanyaspor,Sivasspor,0.471,0.287,0.242,H,0.5008,1-1,0.1252,2-0,H,1,0,0,0.7529,D,-0.0594,-1.0
2025-06-01,T1,Bodrumspor,Besiktas,0.2378,0.261,0.5013,A,0.4709,1-1,0.1154,0-4,A,1,0,0,0.6906,,,
2025-06-01,T1,Samsunspor,Kayserispor,0.4469,0.2945,0.2585,H,0.5252,1-1,0.1281,2-1,H,1,0,1,0.8053,D,-0.4094,-1.0
2025-07-25,B1,Antwerp,St. Gilloise,0.1529,0.2107,0.6364,A,0.6172,0-2,0.1204,1-1,D,0,0,0,1.5573,A,0.016,-1.0
2025-07-26,B1,Waregem,Mechelen,0.2788,0.2386,0.4826,A,0.5395,1-1,0.1154,1-1,D,0,1,0,1.4331,A,-0.0092,-1.0
2025-07-26,B1,RAAL La Louviere,Standard,0.4206,0.2689,0.3104,H,0.4801,1-1,0.1351,0-2,A,0,0,1,1.1698,H,-0.0747,-1.0
2025-07-26,B1,Dender,Cercle Brugge,0.4049,0.2718,0.3233,H,0.5086,1-1,0.1188,0-0,D,0,0,0,1.3027,H,-0.074,-1.0
2025-07-27,B1,St Truiden,Gent,0.4243,0.2504,0.3253,H,0.4322,1-1,0.1269,3-1,H,1,0,0,0.8573,A,0.0526,-1.0
2025-07-27,B1,Club Brugge,Genk,0.614,0.2125,0.1735,H,0.5451,2-0,0.1003,2-1,H,1,0,1,0.4877,H,0.0359,0.73
2025-07-27,B1,Oud-Heverlee Leuven,Charleroi,0.2678,0.2524,0.4798,A,0.5278,1-1,0.1268,2-2,D,0,0,1,1.3767,A,-0.0239,-1.0
2025-07-27,B1,Anderlecht,Westerlo,0.5254,0.2627,0.2119,H,0.482,1-1,0.1078,5-2,H,1,0,0,0.6436,,,
2025-08-01,B1,Mechelen,Club Brugge,0.1904,0.209,0.6007,A,0.7353,1-2,0.0966,2-1,H,0,0,1,1.6588,A,0.0452,-1.0
2025-08-02,B1,Gent,RAAL La Louviere,0.4729,0.277,0.25,H,0.5627,1-1,0.1198,1-0,H,1,0,0,0.7488,A,0.0375,-1.0
2025-08-02,SC0,Motherwell,Rangers,0.1248,0.1908,0.6845,A,0.5693,0-2,0.1056,1-1,D,0,0,0,1.6567,,,
2025-08-02,B1,Westerlo,Waregem,0.5697,0.2352,0.1951,H,0.586,1-1,0.1079,3-1,H,1,0,1,0.5626,H,-0.1429,0.8
2025-08-02,B1,Standard,Dender,0.4416,0.2909,0.2675,H,0.488,1-1,0.1358,1-1,D,0,1,1,1.2348,A,0.1444,-1.0
2025-08-02,SC0,Kilmarnock,Livingston,0.4897,0.269,0.2413,H,0.4244,1-1,0.1297,2-2,D,0,0,0,1.3129,,,
2025-08-03,B1,Cercle Brugge,Anderlecht,0.2828,0.2794,0.4378,A,0.5083,1-1,0.1216,0-2,A,1,0,0,0.8261,A,-0.0043,1.3
2025-08-03,SC0,Celtic,St Mirren,0.7793,0.1543,0.0664,H,0.7135,2-0,0.0974,1-0,H,1,0,0,0.2494,,,
2025-08-03,SC0,Dundee,Hibernian,0.2804,0.242,0.4776,A,0.5861,1-1,0.1264,1-2,A,1,0,1,0.739,H,-0.0398,-1.0
2025-08-03,B1,Charleroi,St Truiden,0.483,0.2706,0.2464,H,0.5727,1-1,0.1068,1-1,D,0,1,0,1.3069,,,
2025-08-03,SC0,Falkirk,Dundee United,0.4373,0.2644,0.2983,H,0.547,1-1,0.1296,2-2,D,0,0,1,1.3301,A,-0.1593,-1.0
2025-08-03,B1,Genk,Antwerp,0.5726,0.244,0.1834,H,0.5099,1-1,0.1097,1-1,D,0,1,0,1.4108,,,
2025-08-03,B1,St. Gilloise,Oud-Heverlee Leuven,0.8055,0.1303,0.0641,H,0.6125,2-0,0.1207,5-0,H,1,0,1,0.2162,H,-0.0145,0.36
2025-08-04,SC0,Hearts,Aberdeen,0.5223,0.2674,0.2103,H,0.3172,1-0,0.1401,2-0,H,1,0,1,0.6495,H,0.0881,1.1
2025-08-08,N1,For Sittard,Go Ahead Eagles,0.2902,0.2665,0.4433,A,0.4464,1-1,0.1273,2-2,D,0,0,0,1.3222,A,0.0917,-1.0
2025-08-08,E1,Birmingham,Ipswich,0.3973,0.2631,0.3396,H,0.3995,1-1,0.1318,1-1,D,0,1,1,1.3354,,,
2025-08-08,B1,St Truiden,Dender,0.5225,0.2645,0.213,H,0.5782,1-1,0.1087,2-0,H,1,0,0,0.6491,,,
2025-08-08,P1,Casa Pia,Sp Lisbon,0.0847,0.1345,0.7808,A,0.7061,0-2,0.1333,0-2,A,1,1,0,0.2474,A,0.0,0.33
2025-08-08,T1,Gaziantep,Galatasaray,0.0872,0.1389,0.7739,A,0.5783,0-2,0.1373,0-3,A,1,0,1,0.2563,A,-0.0567,0.33
2025-08-09,E1,Middlesbrough,Swansea,0.395,0.2716,0.3334,H,0.4767,1-1,0.1347,1-0,H,1,0,1,0.9288,A,-0.1283,-1.0
2025-08-09,E1,Coventry,Hull,0.4275,0.2877,0.2848,H,0.3667,1-1,0.1386,0-0,D,0,0,1,1.246,A,-0.0798,-1.0
2025-08-09,E1,Charlton,Watford,0.348,0.2723,0.3797,A,0.4287,1-1,0.1371,1-0,H,0,0,1,1.0556,A,-0.1529,-1.0
2025-08-09,E1,Sheffield United,Bristol City,0.5024,0.2732,0.2244,H,0.43,1-1,0.1292,1-4,A,0,0,0,1.4942,,,
2025-08-09,E1,Norwich,Millwall,0.3525,0.2842,0.3634,A,0.402,1-1,0.1374,1-2,A,1,0,0,1.0124,A,0.027,2.8
2025-08-09,E1,Oxford,Portsmouth,0.3923,0.2735,0.3342,H,0.3909,1-1,0.1374,0-1,A,0,0,1,1.096,,,
2025-08-09,E1,QPR,Preston,0.4067,0.27,0.3232,H,0.3713,1-1,0.1343,1-1,D,0,1,1,1.3093,,,
2025-08-09,E1,Stoke,Derby,0.3738,0.2758,0.3504,H,0.4126,1-1,0.1356,3-1,H,1,0,0,0.9841,A,-0.1011,-1.0
2025-08-09,E1,West Brom,Blackburn,0.4133,0.2785,0.3082,H,0.3836,1-1,0.1362,1-0,H,1,0,1,0.8835,A,0.0023,-1.0
2025-08-09,E1,Southampton,Wrexham,0.3228,0.2663,0.4109,A,0.4856,1-1,0.1383,2-1,H,0,0,0,1.1307,A,-0.0286,-1.0
2025-08-09,SC0,Rangers,Dundee,0.8091,0.1293,0.0616,H,0.7043,2-0,0.0964,1-1,D,0,0,0,2.0458,,,
2025-08-09,SC0,St Mirren,Motherwell,0.5248,0.2687,0.2065,H,0.4404,1-1,0.1213,0-0,D,0,0,1,1.314,H,-0.1176,-1.0
2025-08-09,P1,Nacional,Gil Vicente,0.3306,0.2757,0.3937,A,0.3875,1-1,0.1386,0-2,A,1,0,1,0.9322,A,-0.0301,1.9
2025-08-09,B1,Gent,St. Gilloise,0.128,0.1975,0.6745,A,0.6294,0-2,0.1142,2-3,A,1,0,1,0.3938,A,-0.0244,0.6
2025-08-09,B1,Westerlo,Mechelen,0.4517,0.2733,0.2749,H,0.5389,1-1,0.1139,0-1,A,0,0,0,1.2912,H,0.0208,-1.0
2025-08-09,B1,Club Brugge,Cercle Brugge,0.775,0.1481,0.0769,H,0.6821,2-0,0.1096,2-0,H,1,1,0,0.2549,H,0.014,0.45
2025-08-09,N1,Nijmegen,Excelsior,0.5532,0.2605,0.1864,H,0.471,1-1,0.1175,5-0,H,1,0,0,0.5921,,,
2025-08-09,N1,Feyenoord,NAC Breda,0.8356,0.1116,0.0528,H,0.6358,2-0,0.108,2-0,H,1,1,0,0.1796,,,
2025-08-09,N1,Heerenveen,Volendam,0.5669,0.2511,0.182,H,0.4901,1-1,0.1151,1-1,D,0,1,1,1.382,,,
2025-08-09,N1,PSV Eindhoven,Sparta Rotterdam,0.8311,0.1055,0.0633,H,0.7634,2-0,0.1022,6-1,H,1,0,1,0.185,,,
2025-08-09,T1,Antalyaspor,Kasimpasa,0.3074,0.2778,0.4148,A,0.4544,1-1,0.1337,2-1,H,0,0,0,1.1796,A,-0.1459,-1.0
2025-08-09,T1,Samsunspor,Genclerbirligi,0.676,0.188,0.136,H,0.5343,2-0,0.1094,2-1,H,1,0,1,0.3916,H,-0.006,0.67
2025-08-09,SC0,Livingston,Falkirk,0.3387,0.2664,0.3949,A,0.4804,1-1,0.136,3-1,H,0,0,0,1.0827,A,-0.1405,-1.0
2025-08-09,P1,Arouca,AVS,0.5722,0.2282,0.1996,H,0.4908,1-1,0.1277,3-1,H,1,0,0,0.5582,H,0.0517,0.83
2025-08-10,SC0,Hibernian,Kilmarnock,0.5985,0.2282,0.1733,H,0.5364,2-0,0.1072,2-2,D,0,0,1,1.4775,H,0.0897,-1.0
2025-08-10,SC0,Aberdeen,Celtic,0.1146,0.1694,0.716,A,0.6075,0-2,0.1269,0-2,A,1,1,0,0.3341,A,0.0667,0.44
2025-08-10,T1,Rizespor,Goztep,0.4175,0.2864,0.2961,H,0.517,1-1,0.1235,0-3,A,0,0,1,1.217,,,
2025-08-10,SC0,Dundee United,Hearts,0.2766,0.2777,0.4457,A,0.4071,1-1,0.1366,2-3,A,1,0,0,0.8081,H,-0.1435,-1.0
2025-08-10,T1,Eyupspor,Konyaspor,0.3679,0.2821,0.35,H,0.4782,1-1,0.1338,1-4,A,0,0,0,1.0498,,,
2025-08-10,B1,Antwerp,Oud-Heverlee Leuven,0.6247,0.2326,0.1427,H,0.5784,2-0,0.1119,3-1,H,1,0,1,0.4706,H,0.0324,0.91
2025-08-10,B1,RAAL La Louviere,Charleroi,0.2665,0.2768,0.4568,A,0.4651,1-1,0.1163,1-0,H,0,0,1,1.3225,,,
2025-08-10,P1,Sp Braga,Tondela,0.768,0.1561,0.076,H,0.5194,2-0,0.1273,3-0,H,1,0,1,0.264,H,-0.0071,0.4
2025-08-10,P1,Moreirense,Alverca,0.4126,0.2903,0.2971,H,0.4121,1-1,0.125,2-1,H,1,0,0,0.8852,A,-0.1781,-1.0
